"","GenderSelect","Age","EmploymentStatus","FormalEducation","EmployerIndustry","LanguageRecommendationSelect","MajorSelect"
"1","Male",26,"Employed full-time","Master's degree","Financial","Python","Computer Science"
"2","Male",29,"Employed full-time","Master's degree","Pharmaceutical","Python","Computer Science"
"3","Male",24,"Employed full-time","Bachelor's degree","Hospitality/Entertainment/Sports","Python","Computer Science"
"4","Male",50,"Employed full-time","Doctoral degree","Insurance","R","Mathematics or statistics"
"5","Male",25,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"6","Male",32,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"7","Male",26,"Employed full-time","Master's degree","Government","R","A health science"
"8","Male",23,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"9","Male",29,"Employed full-time","Doctoral degree","Academic","R","Mathematics or statistics"
"10","Female",28,"Employed full-time","Master's degree","Other","R","Mathematics or statistics"
"11","Male",26,"Employed full-time","Bachelor's degree","CRM/Marketing","Python","Mathematics or statistics"
"12","Male",52,"Employed full-time","Bachelor's degree","Academic","Python","Computer Science"
"13","Male",32,"Employed full-time","Doctoral degree","Mix of fields","R","Computer Science"
"14","Male",27,"Employed full-time","Bachelor's degree","Other","Python","Mathematics or statistics"
"15","Female",25,"Employed full-time","Master's degree","Academic","Python","Mathematics or statistics"
"16","Male",29,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"17","Male",32,"Employed full-time","Master's degree","Other","Matlab","Mathematics or statistics"
"18","Male",35,"Employed full-time","Bachelor's degree","Insurance","Python","Computer Science"
"19","Male",31,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"20","Male",22,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"21","Male",29,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"22","Male",47,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"23","Male",39,"Employed full-time","Bachelor's degree","Hospitality/Entertainment/Sports","R","Mathematics or statistics"
"24","Female",22,"Employed full-time","Bachelor's degree","Government","Python","Computer Science"
"25","Male",40,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"26","Male",25,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"27","Male",40,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"28","Male",34,"Employed part-time","Doctoral degree","Academic","R","Computer Science"
"29","Male",23,"Employed full-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"30","Male",28,"Employed full-time","Master's degree","Pharmaceutical","R","A health science"
"31","Male",28,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"32","Male",26,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"33","Male",30,"Employed full-time","Doctoral degree","Technology","Python","Mathematics or statistics"
"34","Male",49,"Employed full-time","Doctoral degree","Academic","Python","A health science"
"35","Male",33,"Employed full-time","Master's degree","Financial","Python","A health science"
"36","Male",60,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"37","Female",24,"Employed full-time","Bachelor's degree","Technology","Python","Mathematics or statistics"
"38","Male",29,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"39","Male",23,"Employed full-time","Bachelor's degree","Insurance","Python","Mathematics or statistics"
"40","Male",25,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"41","Male",37,"Employed full-time","Doctoral degree","Financial","Python","Mathematics or statistics"
"42","Male",29,"Employed full-time","Master's degree","Government","Python","Mathematics or statistics"
"43","Male",25,"Employed full-time","Master's degree","Academic","Matlab","Computer Science"
"44","Male",31,"Employed full-time","Master's degree","Government","R","Mathematics or statistics"
"45","Male",31,"Employed full-time","Master's degree","Retail","Python","Computer Science"
"46","Male",31,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"47","Male",26,"Employed full-time","Master's degree","Government","Python","Computer Science"
"48","Male",24,"Employed full-time","Some college/university study without earning a bachelor's degree","Retail","R","Computer Science"
"49","Male",30,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"50","Male",32,"Employed full-time","Master's degree","Other","Python","Computer Science"
"51","Female",38,"Employed full-time","Master's degree","Government","SAS","Computer Science"
"52","Male",25,"Employed part-time","Master's degree","Financial","R","Mathematics or statistics"
"53","Male",45,"Employed full-time","Master's degree","Other","R","Mathematics or statistics"
"54","Male",44,"Employed full-time","Master's degree","Telecommunications","Python","Mathematics or statistics"
"55","Male",23,"Employed full-time","Bachelor's degree","Other","Python","Mathematics or statistics"
"56","Male",37,"Employed full-time","Bachelor's degree","CRM/Marketing","Python","Computer Science"
"57","Male",39,"Employed full-time","Bachelor's degree","Financial","R","Computer Science"
"58","Male",25,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"59","Male",33,"Employed full-time","Bachelor's degree","Pharmaceutical","Python","Computer Science"
"60","Male",49,"Employed full-time","Doctoral degree","Other","R","A health science"
"61","Male",35,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"62","Male",35,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"63","Male",34,"Employed full-time","Master's degree","Government","R","Computer Science"
"64","Male",22,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"65","Female",32,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"66","Male",25,"Employed full-time","Master's degree","Technology","R","Computer Science"
"67","Female",25,"Employed part-time","Master's degree","Mix of fields","Python","Mathematics or statistics"
"68","Male",23,"Employed part-time","Bachelor's degree","Mix of fields","R","Mathematics or statistics"
"69","Male",40,"Employed full-time","Master's degree","Telecommunications","Python","Mathematics or statistics"
"70","Male",29,"Employed full-time","Doctoral degree","Technology","Python","Mathematics or statistics"
"71","Female",20,"Employed full-time","Some college/university study without earning a bachelor's degree","Technology","Python","Computer Science"
"72","Male",25,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"73","Male",21,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"74","Male",40,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"75","Male",38,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"76","Male",39,"Employed full-time","Master's degree","Academic","R","Computer Science"
"77","Male",23,"Employed full-time","Master's degree","Financial","Python","Computer Science"
"78","Male",34,"Employed full-time","Doctoral degree","Government","Python","Computer Science"
"79","Male",0,"Employed full-time","Doctoral degree","Other","Python","Mathematics or statistics"
"80","Male",27,"Employed full-time","Master's degree","Financial","Python","Computer Science"
"81","Male",36,"Employed full-time","Bachelor's degree","Technology","R","Computer Science"
"82","Male",29,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"83","Female",28,"Employed full-time","Master's degree","Technology","R","Mathematics or statistics"
"84","Male",27,"Employed full-time","Master's degree","Other","Python","Computer Science"
"85","Male",43,"Employed full-time","Master's degree","Retail","R","Mathematics or statistics"
"86","Male",25,"Employed full-time","Bachelor's degree","CRM/Marketing","Python","Computer Science"
"87","Male",44,"Employed full-time","Bachelor's degree","Government","R","Mathematics or statistics"
"88","Male",39,"Employed full-time","Master's degree","Technology","R","Mathematics or statistics"
"89","Male",30,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"90","Male",29,"Employed full-time","Master's degree","Technology","Python","Mathematics or statistics"
"91","Male",27,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"92","Female",23,"Employed full-time","Bachelor's degree","Mix of fields","R","Computer Science"
"93","Male",26,"Employed full-time","Master's degree","Telecommunications","Python","Mathematics or statistics"
"94","Male",28,"Employed full-time","Master's degree","Non-profit","R","Computer Science"
"95","Male",37,"Employed full-time","Bachelor's degree","Other","Python","Computer Science"
"96","Female",28,"Employed full-time","Master's degree","Mix of fields","Python","Mathematics or statistics"
"97","Male",34,"Employed full-time","Master's degree","Academic","R","A health science"
"98","Female",33,"Employed full-time","Master's degree","Academic","R","Computer Science"
"99","Female",26,"Employed full-time","Master's degree","Government","Python","Computer Science"
"100","Male",25,"Employed full-time","Bachelor's degree","Retail","Python","Computer Science"
"101","Male",26,"Employed full-time","Some college/university study without earning a bachelor's degree","Internet-based","Python","Computer Science"
"102","Male",44,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"103","Male",25,"Employed full-time","Master's degree","Technology","Python","Mathematics or statistics"
"104","Male",26,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"105","Male",48,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"106","Male",32,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"107","Male",30,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"108","Male",28,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"109","Male",42,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"110","Male",35,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"111","Male",28,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"112","Male",23,"Employed full-time","Bachelor's degree","Technology","R","Mathematics or statistics"
"113","Male",46,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"114","Male",27,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"115","Male",22,"Employed full-time","Bachelor's degree","Mix of fields","R","Computer Science"
"116","Male",23,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"117","Female",30,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"118","Male",41,"Employed full-time","Doctoral degree","Academic","Python","Mathematics or statistics"
"119","Male",35,"Employed full-time","Master's degree","Other","R","Computer Science"
"120","Male",35,"Employed full-time","Master's degree","Internet-based","Python","Computer Science"
"121","Male",36,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"122","Male",27,"Employed full-time","Master's degree","Manufacturing","Python","Computer Science"
"123","Female",26,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"124","Female",54,"Employed full-time","Master's degree","Technology","R","Mathematics or statistics"
"125","Female",30,"Employed full-time","Doctoral degree","Internet-based","Python","Mathematics or statistics"
"126","Female",34,"Employed full-time","Bachelor's degree","Retail","R","Computer Science"
"127","Female",29,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"128","Male",28,"Employed full-time","Master's degree","Retail","R","Computer Science"
"129","Male",24,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"130","Male",26,"Employed full-time","Master's degree","Government","Python","Computer Science"
"131","Male",28,"Employed full-time","Master's degree","Insurance","R","Mathematics or statistics"
"132","Male",21,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"133","Male",33,"Employed full-time","Master's degree","Internet-based","Python","Computer Science"
"134","Male",24,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"135","Male",35,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"136","Male",27,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"137","Male",26,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"138","Male",33,"Employed full-time","Bachelor's degree","Academic","R","Computer Science"
"139","Male",56,"Employed part-time","Some college/university study without earning a bachelor's degree","Other","Python","Computer Science"
"140","Male",22,"Employed full-time","Bachelor's degree","Academic","Python","Computer Science"
"141","Male",39,"Employed full-time","Some college/university study without earning a bachelor's degree","Hospitality/Entertainment/Sports","Python","Computer Science"
"142","Male",21,"Employed part-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"143","Male",28,"Employed full-time","Master's degree","Other","Python","Computer Science"
"144","Male",32,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"145","Male",24,"Employed part-time","Master's degree","Academic","Python","Computer Science"
"146","Male",22,"Employed full-time","Some college/university study without earning a bachelor's degree","CRM/Marketing","Python","Computer Science"
"147","Male",31,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"148","Male",24,"Employed full-time","Bachelor's degree","Other","R","Mathematics or statistics"
"149","Male",49,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"150","Male",32,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"151","Male",27,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"152","Male",26,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"153","Female",28,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"154","Male",30,"Employed full-time","Bachelor's degree","Government","Python","Mathematics or statistics"
"155","Male",22,"Employed full-time","Bachelor's degree","Financial","R","Computer Science"
"156","Male",26,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"157","Male",27,"Employed full-time","Bachelor's degree","Other","Python","Computer Science"
"158","Male",29,"Employed full-time","Master's degree","Telecommunications","R","Computer Science"
"159","Female",25,"Employed full-time","Bachelor's degree","Financial","Python","Mathematics or statistics"
"160","Male",33,"Employed full-time","Master's degree","Internet-based","Python","Computer Science"
"161","Female",27,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"162","Male",35,"Employed full-time","Master's degree","Non-profit","Matlab","Computer Science"
"163","Male",43,"Employed full-time","Doctoral degree","Financial","Python","Computer Science"
"164","Male",25,"Employed full-time","Master's degree","CRM/Marketing","Python","Computer Science"
"165","Male",33,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"166","Male",25,"Employed part-time","Bachelor's degree","Mix of fields","R","Computer Science"
"167","Male",26,"Employed full-time","Master's degree","Retail","Python","Mathematics or statistics"
"168","Male",27,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"169","Male",27,"Employed full-time","Bachelor's degree","Academic","Python","Computer Science"
"170","Male",27,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"171","Male",53,"Employed full-time","Bachelor's degree","Telecommunications","R","Mathematics or statistics"
"172","Female",48,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"173","Male",27,"Employed full-time","Master's degree","CRM/Marketing","Python","Mathematics or statistics"
"174","Male",27,"Employed full-time","Master's degree","Mix of fields","Python","Mathematics or statistics"
"175","Female",25,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"176","Male",29,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"177","Female",33,"Employed full-time","Doctoral degree","Government","Python","Computer Science"
"178","Female",34,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"179","Male",36,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"180","Male",37,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"181","Male",25,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"182","Male",25,"Employed full-time","Bachelor's degree","Technology","Python","Mathematics or statistics"
"183","Male",33,"Employed full-time","Master's degree","Other","Python","Computer Science"
"184","Male",24,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"185","Male",37,"Employed full-time","Master's degree","Non-profit","R","Mathematics or statistics"
"186","Male",27,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"187","Male",32,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"188","Male",35,"Employed full-time","Master's degree","Other","Python","Computer Science"
"189","Male",32,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"190","Male",35,"Employed full-time","Bachelor's degree","Insurance","Python","Computer Science"
"191","Male",62,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"192","Male",36,"Employed full-time","Master's degree","Telecommunications","R","Mathematics or statistics"
"193","Male",25,"Employed full-time","Bachelor's degree","Government","Python","Mathematics or statistics"
"194","Male",36,"Employed full-time","Doctoral degree","Internet-based","Python","Mathematics or statistics"
"195","Female",21,"Employed part-time","Bachelor's degree","Internet-based","Python","Computer Science"
"196","Male",23,"Employed full-time","Bachelor's degree","Telecommunications","Python","Computer Science"
"197","Male",27,"Employed full-time","Master's degree","Academic","R","Computer Science"
"198","Male",26,"Employed full-time","Master's degree","Mix of fields","R","Mathematics or statistics"
"199","Female",38,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"200","A different identity",25,"Employed full-time","Bachelor's degree","Pharmaceutical","SAS","Computer Science"
"201","Male",28,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"202","Male",28,"Employed full-time","Master's degree","Academic","Python","Mathematics or statistics"
"203","Male",27,"Employed full-time","Master's degree","CRM/Marketing","Python","Mathematics or statistics"
"204","Female",27,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"205","Male",27,"Employed full-time","Master's degree","Government","Python","Computer Science"
"206","Male",25,"Employed full-time","Master's degree","Other","Python","Mathematics or statistics"
"207","Male",22,"Employed full-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"208","Female",31,"Employed full-time","Doctoral degree","Academic","R","Mathematics or statistics"
"209","Male",33,"Employed full-time","Master's degree","CRM/Marketing","Python","Mathematics or statistics"
"210","Male",25,"Employed full-time","Bachelor's degree","Telecommunications","Python","Computer Science"
"211","Male",33,"Employed full-time","Some college/university study without earning a bachelor's degree","Mix of fields","Python","Mathematics or statistics"
"212","Male",24,"Employed full-time","Master's degree","Academic","R","Computer Science"
"213","Male",30,"Employed full-time","Master's degree","Academic","Python","A health science"
"214","Female",33,"Employed full-time","Doctoral degree","Retail","R","Mathematics or statistics"
"215","Female",36,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"216","Male",28,"Employed full-time","Bachelor's degree","Technology","Python","Mathematics or statistics"
"217","Male",38,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"218","Male",32,"Employed full-time","Master's degree","Government","Python","Mathematics or statistics"
"219","Male",28,"Employed full-time","Bachelor's degree","Manufacturing","Python","Computer Science"
"220","Male",30,"Employed full-time","Bachelor's degree","Telecommunications","R","Computer Science"
"221","Female",22,"Employed full-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"222","Male",23,"Employed full-time","Master's degree","Other","R","Computer Science"
"223","Male",26,"Employed full-time","Master's degree","CRM/Marketing","Python","Computer Science"
"224","Male",70,"Employed full-time","Doctoral degree","Internet-based","Python","Mathematics or statistics"
"225","Male",25,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"226","Male",38,"Employed full-time","Master's degree","Government","Python","Computer Science"
"227","Male",28,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"228","Male",26,"Employed full-time","Doctoral degree","Mix of fields","Python","Mathematics or statistics"
"229","Female",22,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"230","Female",23,"Employed full-time","Bachelor's degree","Telecommunications","Python","Mathematics or statistics"
"231","Male",22,"Employed full-time","Bachelor's degree","Financial","R","Computer Science"
"232","Male",32,"Employed full-time","Master's degree","Internet-based","Python","Computer Science"
"233","Male",32,"Employed full-time","Master's degree","Academic","Matlab","Computer Science"
"234","Male",31,"Employed full-time","Bachelor's degree","Non-profit","Python","Computer Science"
"235","Male",25,"Employed full-time","Doctoral degree","Academic","R","Mathematics or statistics"
"236","Male",29,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"237","Male",26,"Employed part-time","Bachelor's degree","Technology","Python","Computer Science"
"238","Male",26,"Employed full-time","Bachelor's degree","Financial","Python","Mathematics or statistics"
"239","Male",39,"Employed full-time","Master's degree","Technology","R","Computer Science"
"240","Male",30,"Employed full-time","Master's degree","CRM/Marketing","R","Mathematics or statistics"
"241","Female",29,"Employed full-time","Master's degree","Technology","Matlab","Computer Science"
"242","Male",31,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"243","Male",31,"Employed full-time","Master's degree","Technology","R","Mathematics or statistics"
"244","Male",27,"Employed full-time","Doctoral degree","Government","Matlab","Computer Science"
"245","Male",40,"Employed full-time","Master's degree","Other","R","Computer Science"
"246","Male",48,"Employed full-time","Master's degree","Mix of fields","Python","Computer Science"
"247","Male",39,"Employed full-time","Doctoral degree","Academic","R","A health science"
"248","Male",31,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"249","Male",38,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"250","Male",37,"Employed full-time","Master's degree","Government","Python","Computer Science"
"251","Male",25,"Employed full-time","Bachelor's degree","Non-profit","R","Mathematics or statistics"
"252","Male",33,"Employed full-time","Master's degree","Other","Python","Computer Science"
"253","Male",30,"Employed full-time","Bachelor's degree","Other","R","Mathematics or statistics"
"254","Male",22,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"255","Male",28,"Employed part-time","Master's degree","Other","R","Mathematics or statistics"
"256","Male",21,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"257","Male",37,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"258","Female",35,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"259","Male",35,"Employed full-time","Master's degree","Mix of fields","R","Computer Science"
"260","Male",23,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"261","Male",35,"Employed full-time","Doctoral degree","Academic","Python","Mathematics or statistics"
"262","Female",27,"Employed full-time","Master's degree","Internet-based","R","Mathematics or statistics"
"263","Male",29,"Employed full-time","Master's degree","Pharmaceutical","Python","Computer Science"
"264","Male",31,"Employed full-time","Master's degree","Financial","Python","Computer Science"
"265","Male",26,"Employed part-time","Some college/university study without earning a bachelor's degree","Mix of fields","Python","Mathematics or statistics"
"266","Male",38,"Employed full-time","Bachelor's degree","Mix of fields","Python","Computer Science"
"267","Male",27,"Employed full-time","Master's degree","Hospitality/Entertainment/Sports","Python","Computer Science"
"268","Male",35,"Employed full-time","Master's degree","Manufacturing","Python","Computer Science"
"269","Male",35,"Employed full-time","Doctoral degree","Technology","Python","Mathematics or statistics"
"270","Male",26,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"271","Male",28,"Employed full-time","Bachelor's degree","Technology","R","Computer Science"
"272","Male",30,"Employed full-time","Master's degree","Hospitality/Entertainment/Sports","Python","Mathematics or statistics"
"273","Male",38,"Employed full-time","Bachelor's degree","Mix of fields","R","Mathematics or statistics"
"274","Male",31,"Employed full-time","Bachelor's degree","Mix of fields","Python","Mathematics or statistics"
"275","Male",33,"Employed full-time","Some college/university study without earning a bachelor's degree","Retail","Python","Computer Science"
"276","Female",28,"Employed part-time","Master's degree","Technology","Python","Computer Science"
"277","Male",57,"Employed full-time","Doctoral degree","Academic","Python","Computer Science"
"278","Male",41,"Employed full-time","Bachelor's degree","Financial","R","Computer Science"
"279","Male",30,"Employed full-time","Master's degree","Financial","Python","Mathematics or statistics"
"280","Male",28,"Employed full-time","Bachelor's degree","Internet-based","Python","Computer Science"
"281","Male",52,"Employed full-time","Bachelor's degree","Government","Python","Computer Science"
"282","Male",29,"Employed full-time","Bachelor's degree","Telecommunications","R","Computer Science"
"283","Male",26,"Employed full-time","Some college/university study without earning a bachelor's degree","Internet-based","Python","Computer Science"
"284","Male",25,"Employed full-time","Master's degree","Retail","Python","Mathematics or statistics"
"285","Male",38,"Employed full-time","Master's degree","Technology","Python","Mathematics or statistics"
"286","Male",27,"Employed full-time","Master's degree","Government","R","Mathematics or statistics"
"287","Male",24,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"288","Male",25,"Employed full-time","Master's degree","Financial","R","Mathematics or statistics"
"289","Male",39,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"290","Male",56,"Employed full-time","Master's degree","Technology","Python","Mathematics or statistics"
"291","A different identity",49,"Employed full-time","Master's degree","Other","Python","Computer Science"
"292","Male",29,"Employed full-time","Bachelor's degree","Academic","R","Mathematics or statistics"
"293","Male",35,"Employed full-time","Master's degree","Technology","R","Computer Science"
"294","Female",27,"Employed full-time","Master's degree","Manufacturing","R","Mathematics or statistics"
"295","Female",31,"Employed full-time","Master's degree","Non-profit","R","A health science"
"296","Male",34,"Employed full-time","Master's degree","Telecommunications","Python","Computer Science"
"297","Female",26,"Employed full-time","Master's degree","Academic","R","Mathematics or statistics"
"298","Male",38,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"299","Male",50,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"300","Male",24,"Employed full-time","Master's degree","Internet-based","Python","Computer Science"
"301","Male",35,"Employed full-time","Doctoral degree","Academic","R","Computer Science"
"302","Male",27,"Employed full-time","Master's degree","Pharmaceutical","R","Mathematics or statistics"
"303","Female",24,"Employed full-time","Bachelor's degree","Academic","Python","Mathematics or statistics"
"304","Male",24,"Employed full-time","Master's degree","Academic","Python","Computer Science"
"305","Male",23,"Employed full-time","Bachelor's degree","Other","Python","Computer Science"
"306","Male",31,"Employed full-time","Doctoral degree","Technology","Python","Computer Science"
"307","Male",23,"Employed full-time","Bachelor's degree","Financial","Python","Computer Science"
"308","Male",35,"Employed full-time","Master's degree","Other","R","Mathematics or statistics"
"309","Male",50,"Employed full-time","Master's degree","Technology","Python","Computer Science"
"310","Male",55,"Employed full-time","Doctoral degree","Academic","R","Mathematics or statistics"
"311","Female",35,"Employed full-time","Bachelor's degree","Insurance","R","Mathematics or statistics"
"312","Male",50,"Employed full-time","Bachelor's degree","Technology","Python","Computer Science"
"313","Male",32,"Employed full-time","Bachelor's degree","CRM/Marketing","R","Computer Science"
